#/////////////////////////////////////,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----START OF METADATA -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TITLE: Brief title for entire data set,"Species richness of stoneflies (Insecta: Plecoptera), with an emphasis on the Appalachian region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE: date of creation of data set,15-Sep-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR: author/owner of data,Phillip Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR EMAIL:,pnhogan2@illinois.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR ADDRESS:,https://orcid.org/0000-0002-6546-272X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR WEBSITE: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# OWNERSHIP: Information on who owns/controls the data ,Phillip Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLLABORATORS: One or more lines identifying others who collected/own data,Scott Grubbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FUNDING SOURCES: Grant numbers or funding sources for acknowlegment,Western Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# REPOSITORY: One or more lines for GitHub, Dryad, or permanent web repositories where data set can be accessed",https://datadryad.org/stash/dataset/doi:10.5061/dryad.hdr7sqvmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CITATIONS: One or more lines for publications that cite or use these data,"Hogan, Phillip; Grubbs, Scott (2022). Data from: Distributional trends and species richness of Maryland, USA stoneflies (Insecta: Plecoptera), with an emphasis on the Appalachian region [Dataset]. Dryad. https://doi.org/10.5061/dryad.hdr7sqvmg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SAMPLING LOCATIONS: One or more lines about where data were collected; GPS for individual sites should be data columns,"Appalachian Region, Maryland (USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SAMPLING TIMES: One more lines on when data were collected,1990's and 2020-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# VARIABLE DESCRIPTION: One line for each column in the data set stating what it is and what the units of measurement are,Type: What kind of collection this individual was,kingdom,phylum,class,order,family,genus,specificEpithet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MISSING DATA: One or more lines for each variable describing the source of NA values throughout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATA TRACK CHANGES LOG (use this section to record any changes to the data set after it is created),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DATE:              #CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----- END OF METADATA -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/////////////////////////////////////,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----- START OF DATA -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Type,ownerInstitutionCode,catalogNumber,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,vernacularName,taxonomicStatus,taxonRank,typeStatus,identifiedBy,dateIdentified,eventDate,month,day,year,preparation,recordedBy,fieldNumber,habitat,basisOfRecord,adultMale,adultFemale,immatureNymph,1uvium,individualCount,sex,lifeStage,country,countryCode,stateProvince,county,waterBody,locality,coordinateUncertaintyInMeters,geodeticDatum,georeferencedBy,georeferenceSources,datasetName,accessRights,notes,elevation_m,decimalLongitude,decimalLatitude
11,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,P.N. Hogan,2020,3/11/2020,3,11,2020,vial,P.N. Hogan,PNH-058-20,stream,Preservedspecimen,3,4,0,0,7,"male, female",adult,USA,US,Maryland,Allegany,Fifteen Mile Creek,"first bridge on Fifteenmile Creek Rd. N of US-40, Green Ridge State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,225,-78.45456,39.68648
12,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/16/1996,3,16,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,91,24,0,0,1,male,adult,USA,US,Maryland,Allegany,Fifteenmile Creek,"Fifteenmile Creek Rd., 0.2 mi N U.S. 40",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,218,-78.4574,39.67852
13,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,4/13/1996,4,13,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,2,0,0,1,female ,adult,USA,US,Maryland,Allegany,Fifteenmile Creek,Scenic U.S. 40,10,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,225,-78.45292,39.68879
14,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/24/1996,2,24,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,0,0,0,1,male,adult,USA,US,Maryland,Allegany,Terrapin Run,U.S. 40,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,284,-78.42687,39.69131
15,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/11/1996,2,11,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,2,0,0,0,1,male,adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Rte. 144, 1.8 mi W I-68",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,242,-78.48054,39.67984
16,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,4/13/1996,4,13,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,1,0,0,1,female ,adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Davis Rd., 0.7 mi NW Rte. 144",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,238,-78.47291,39.68341
17,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/11/1996,2,11,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,0,0,0,2,male,adult,USA,US,Maryland,Allegany,Piclic Run,Fifteenmile Creek Rd.,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,"Misnamed. Originally Named Biclic Run, Changed to Piclic Run",216,-78.46144,39.6644
18,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/7/1997,3,7,1997,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,1,0,0,2,"male, female, ",adult,USA,US,Maryland,Allegany,"spring, Big Run","Kirk Rd., 0.5 mi E Green Ridge Rd.",10,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,315,-78.50908,39.5749
19,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/23/1996,3,23,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,10,7,0,0,2,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Deep Run",Fifteenmile Creek Rd.,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,224,-78.45218,39.65292
20,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/12/1995,3,12,1995,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,1,0,0,2,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek",Rte. 144,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,232,-78.4696,39.67727
21,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,4/13/1996,4,13,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,6,0,0,2,female ,adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Rte. 144, 1.8 mi W I-68",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,242,-78.48054,39.67984
22,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,4/13/1996,4,13,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,7,0,0,2,female ,adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Davis Rd., Little Pine Lick Hollow, 0.7 mi NW Rte. 144",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,240,-78.47307,39.68341
23,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/24/1996,2,24,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,30,2,0,0,3,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Rte. 144, 1.8 mi W I-68",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,242,-78.48054,39.67984
24,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/7/1997,3,7,1997,vial,S.A. Grubbs,,stream,PreservedSpecimen,3,1,0,0,4,"male, female, ",adult,USA,US,Maryland,Allegany,Big Run,Rte. 51,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,167,-78.53212,39.52642
25,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/23/1996,3,23,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,3,0,0,4,female ,adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Dug Hill Rd., 1.9 mi SE Fifteenmile Creek Rd.",1000,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,297,-78.44736,39.65205
26,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/23/1996,3,23,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,4,0,0,4,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Fifteenmile Creek Rd., 1.4 mi S Scenic U.S. 40 East",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,224,-78.4597,39.67138
27,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/11/1995,3,11,1995,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,0,0,0,5,male,adult,USA,US,Maryland,Allegany,Fifteenmile Creek,"Fifteenmile Creek Rd., 0.3 mi N I-68",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,218,-78.4574,39.67852
28,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,4/13/1996,4,13,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,2,0,0,6,female ,adult,USA,US,Maryland,Allegany,Piclic Run,Fifteenmile Creek Rd.,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,"Misnamed. Originally Named Biclic Run, Changed to Piclic Run",216,-78.46144,39.6644
29,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/16/1996,3,16,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,3,4,0,0,7,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek",Rte. 144,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,232,-78.4696,39.67727
30,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,4/13/1996,4,13,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,1,0,0,8,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Fifteenmile Creek Rd., 0.7 mi N U.S. 40, along Pine Lick Hollow Segment Trail",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,229,-78.45213,39.69319
31,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/18/1995,2,18,1995,vial,S.A. Grubbs,,stream,PreservedSpecimen,8,0,0,0,8,male,adult,USA,US,Maryland,Allegany,White Sulphur Run,Fifteenmile Creek Rd.,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,213,-78.46404,39.65882
